# narkamauka<TAB>taraskievica
# Pairs no rule generates, plus identity entries (same on both sides) for words a
# rule or the classifier would otherwise get wrong. Identity entries short-circuit
# the cascade at step 1.
#
# --- non-assimilative ь that Narkamaŭka keeps (a rule would strip it) ---
пісьменнік	пісьменьнік
пісьменніка	пісьменьніка
пісьменнікі	пісьменьнікі
пісьменнікаў	пісьменьнікаў
пісьменніца	пісьменьніца
пісьменства	пісьменства
пісьме	пісьме
восьмы	восьмы
восьмая	восьмая
касьба	касьба
# --- эў- words that are the same in both orthographies ---
эўрыстыка	эўрыстыка
эўрыстычны	эўрыстычны
эўкаліпт	эўкаліпт
# --- native words with hard л that the classifier must leave alone ---
лапа	лапа
лапы	лапы
лава	лава
ласка	ласка
лаўка	лаўка
лось	лось
лоб	лоб
лом	лом
лук	лук
луг	луг
луна	луна
лужа	лужа
локшына	локшына
лапата	лапата
слова	слова
слава	слава
галава	галава
малако	малако
блага	блага
плата	плата
плакаць	плакаць
плот	плот
плошча	плошча
плуг	плуг
злодзей	злодзей
клопат	клопат
клубок	клубок
калода	калода
палова	палова
паласа	паласа
салома	салома
балота	балота
# --- native сі / зі ---
сіла	сіла
сілы	сілы
сіні	сіні
сівы	сівы
сітка	сітка
сірата	сірата
сіняк	сіняк
зіма	зіма
зімовы	зімовы
зірнуць	зірнуць
зіхацець	зіхацець
# --- native е that is not loan э ---
мера	мера
неба	неба
дзень	дзень
сена	сена
вера	вера
бераг	бераг
вецер	вецер
перад	перад
серада	серада
месца	месца
месяц	месяц
# --- Genitive plural -аў, single words on the project owner's instruction (the general -аў rule
# is still an open gap in NORMS.md: it needs a noun list and the codification).
краін	краінаў
