# narkamauka<TAB>taraskievica
# Loanwords whose Taraškievica form is lexically, not phonologically, conditioned.
# First entry for a key wins. Lowercase; case is re-applied at lookup.
#
# --- soft l ---
клас	кляса
класы	клясы
класа	клясы
класе	клясе
класу	клясе
класны	клясны
класная	клясная
класнае	кляснае
класныя	клясныя
класічны	клясычны
класічная	клясычная
класічнае	клясычнае
класічныя	клясычныя
класічнай	клясычнай
класіка	клясыка
класіфікацыя	клясыфікацыя
план	плян
плана	пляну
планы	пляны
планета	плянэта
планеты	плянэты
плантацыя	плянтацыя
лампа	лямпа
лампы	лямпы
лагер	лягер
лозунг	лёзунг
лакальны	лякальны
ландшафт	ляндшафт
лаўрэат	ляўрэат
лабараторыя	лябараторыя
логіка	лёгіка
лагічны	лягічны
біялогія	біялёгія
тэхналогія	тэхналёгія
тэхналогіі	тэхналёгіі
псіхалогія	псыхалёгія
сацыялогія	сацыялёгія
экалогія	экалёгія
ідэалогія	ідэалёгія
філалогія	філялёгія
філасофія	філязофія
філосаф	філёзаф
аналогія	аналёгія
дыялог	дыялёг
каталог	каталёг
блок	блёк
клуб	клюб
глобус	глёбус
глабальны	глябальны
дыплом	дыплём
дыпламат	дыплямат
атлас	атляс
платформа	плятформа
рэклама	рэкляма
парламент	парлямэнт
кіламетр	кілямэтар
кіламетраў	кілямэтраў
кілаграм	кіляграм
калонія	калёнія
салон	салён
балкон	балькон
бланк	блянк
алфавіт	альфабэт
алгебра	альгебра
алкаголь	алькаголь
балада	баляда
# --- і → ы after dentals ---
сістэма	сыстэма
сістэмы	сыстэмы
сістэмны	сыстэмны
сімвал	сымбаль
сімвалічны	сымбалічны
сігнал	сыгнал
сітуацыя	сытуацыя
сітуацыі	сытуацыі
сімпатыя	сымпатыя
сінонім	сынонім
сірэна	сырэна
сіндыкат	сындыкат
сімптом	сымптом
сінтэз	сынтэза
сінтаксіс	сынтакс
сінхронны	сынхронны
прэзідэнт	прэзыдэнт
прэзідэнта	прэзыдэнта
рэзідэнцыя	рэзыдэнцыя
пазіцыя	пазыцыя
пазіцыі	пазыцыі
апазіцыя	апазыцыя
кампазіцыя	кампазыцыя
экспазіцыя	экспазыцыя
візіт	візыт
дэпазіт	дэпазыт
фізіка	фізыка
фізічны	фізычны
музей	музэй
# --- е → э, final -тр → -тар ---
тэатр	тэатар
цэнтр	цэнтар
метр	мэтар
метры	мэтры
метро	мэтро
літр	літар	n2t
міністр	міністар
семестр	сэмэстар
семінар	сэмінар
спектр	спэктар
фільтр	фільтар
рэгістр	рэгістар
магістр	магістар
цыліндр	цыліндар
кадр	кадар
універсітэт	унівэрсытэт
# §71 genitive singular -у; forward-only — see the note in exceptions.tsv, the reverse
# would corrupt the dative
універсітэта	унівэрсытэту	n2t
універсітэце	унівэрсытэце
універсітэцкі	унівэрсытэцкі
універсальны	унівэрсальны
прафесар	прафэсар
прафесія	прафэсія
прафесійны	прафэсійны
сесія	сэсія
сектар	сэктар
секцыя	сэкцыя
сезон	сэзон
серыя	сэрыя
сервіс	сэрвіс
сенат	сэнат
секунда	сэкунда
сертыфікат	сэртыфікат
медыцына	мэдыцына
медыцынскі	мэдыцынскі
медаль	мэдаль
метад	мэтад
метадычны	мэтадычны
методыка	мэтодыка
механізм	мэханізм
механік	мэханік
меню	мэню
менеджар	мэнэджар
менеджмент	мэнэджмэнт
менталітэт	мэнталітэт
металічны	мэталічны
метал	мэтал
дакумент	дакумэнт
дакументы	дакумэнты
элемент	элемэнт
аргумент	аргумэнт
інструмент	інструмэнт
эксперымент	экспэрымэнт
дэпартамент	дэпартамэнт
фундамент	фундамэнт
тэмперамент	тэмпэрамэнт
тэмпература	тэмпэратура
каментарый	камэнтар
энергія	энэргія
энергетыка	энэргетыка
генерал	генэрал
генеральны	генэральны
генетыка	генэтыка
нерв	нэрв
нервовы	нэрвовы
нейтральны	нэўтральны
нейтральная	нэўтральная
неон	нэон
негатыўны	нэгатыўны
пазітыўны	пазытыўны
пенсія	пэнсія
пенсіянер	пэнсіянэр
перыяд	пэрыяд
персона	пэрсона
персанаж	пэрсанаж
перспектыва	пэрспэктыва
феномен	фэномэн
федэрацыя	фэдэрацыя
федэральны	фэдэральны
фестываль	фэстываль
ферма	фэрма
фермер	фэрмэр
бензін	бэнзін
бетон	бэтон
дэсерт	дэсэрт
экзамен	экзамэн
каледж	калэдж
канферэнцыя	канфэрэнцыя
прэзентацыя	прэзэнтацыя
спецыяльны	спэцыяльны
спецыяліст	спэцыяліст
кафедра	катэдра
тэзіс	тэза
# аналіз stays masculine: the feminine аналіза is the historical variant, and the
# masculine lemma is what a deterministic converter should emit. Genitive аналізу is
# already the Narkamaŭka form, so nothing moves.
арыфметыка	арытмэтыка
геаметрыя	геамэтрыя
сіметрыя	сымэтрыя
дыяметр	дыямэтар
тэрмометр	тэрмомэтар
міліметр	мілімэтар
сантыметр	сантымэтар
інтэрв’ю	інтэрвію
лідар	лідэр
партнёр	партнэр
лексіка	лексыка
